,variable,label,unique_values,variable_type
6221,f4a9,How often do you and mother see/talk to each other?,10.0,categorical
6222,f4a10,How many children do you have altogether (inc child)?,13.0,continuous
6223,f4a10b1,Is mother also mother of this child?,6.0,categorical
6224,f4a10b2,Is mother also mother of this child?,6.0,categorical
6225,f4a10b3,Is mother also mother of this child?,6.0,categorical
6226,f4a10c2,Is mother of child2 also mother of child1?,6.0,categorical
6227,f4a10c3,Is mother of child3 also mother of child1?,5.0,categorical
6228,f4a10d3,Is mother of child3 also mother of child2?,5.0,categorical
6229,f4a10e1,What was your relation with mother of this child at time of birth?,10.0,categorical
6230,f4a10e2,What was your relation with mother of this child at time of birth?,10.0,categorical
6231,f4a10e3,What was your relation with mother of this child at time of birth?,10.0,categorical
6232,f4a10f1,Does mother of child1 provide any financial support?,6.0,categorical
6233,f4a10f2,Does mother of child2 provide any financial support?,5.0,categorical
6234,f4a10f3,Does mother of child 3 provide any financial support?,5.0,categorical
6235,f4a10g1,How old is child1's mother?,35.0,continuous
6236,f4a10g2,How old is child2's mother?,35.0,categorical
6237,f4a10g3,How old is child3's mother?,34.0,categorical
6238,f4a10h1,What is child1's mother currently doing?,15.0,unknown
6239,f4a10h2,What is child2's mother currently doing?,12.0,categorical
6240,f4a10h3,What is child3's mother currently doing?,11.0,categorical
6241,f4a11,INT CHK: WERE FATHER AND CHILD'S MOTHER EVER MARRIED?,4.0,categorical
6242,f4a11a,Were you ever married to someone other than mother?,5.0,categorical
6243,f4a11b,Were you ever married?,5.0,categorical
6244,f4a11c,"In total, how many times have you been married?",8.0,continuous
6245,f4a12a1a,"What was the date of your 1st marriage, other than mother? (month)",1.0,categorical
6246,f4a12a1c,"What was the date of your 1st marriage, other than mother? (year)",30.0,categorical
6247,f4a12a2a,"What was the date of your 2nd marriage, other than mother? (month)",1.0,categorical
6248,f4a12a2c,"What was the date of your 2nd marriage, other than mother? (year)",19.0,categorical
6249,f4a12a3a,"What was the date of your 3rd marriage, other than mother? (month)",1.0,categorical
6250,f4a12a3c,"What was the date of your 3rd marriage, other than mother? (year)",16.0,continuous
6251,f4a12b1,Did you divorce this woman?,5.0,categorical
6252,f4a12b2,Did you divorce this woman?,6.0,categorical
6253,f4a12b3,Did you divorce this woman?,6.0,categorical
6254,f4a12c1a,On what date were you divorced from this woman? (month),1.0,categorical
6255,f4a12c1c,On what date were you divorced from this woman? (year),29.0,categorical
6256,f4a12c2a,On what date were you divorced from this woman? (month),1.0,categorical
6257,f4a12c2c,On what date were you divorced from this woman? (year),15.0,categorical
6258,f4a12c3a,On what date were you divorced from this woman? (month),1.0,categorical
6259,f4a12c3c,On what date were you divorced from this woman? (year),7.0,continuous
6260,f4a12e,INT CHK: ARE FATHER AND MOTHER MARRIED AND/OR LIVING TOGETHER MONTHST OF TIME?,3.0,categorical
6261,f4a13,"During last 2 yrs, how many romantic relation have had last 1 mo+?",19.0,continuous
6262,f4a13a,"How many romantic relation in last 2 yrs lasted 1 mo+, range?",7.0,categorical
6263,f4a14,"Last 2 years, have you lived together with partner for 1 mo+?",5.0,categorical
6264,f4a14a,"Last 2 yrs, how many diff partners have you lived with 1 month+?+",9.0,continuous
6265,f4a15,Did you get any of these partners pregnant?,5.0,categorical
6266,cf4age,Constructed - Father's age (years),41.0,continuous
6267,cf4b_age,Constructed - Child age at time of father interview (months),17.0,categorical
6268,cf4marm,Constructed - Father married to baby's mother at five-year,4.0,categorical
6269,cf4cohm,Constructed - Father living with child's mother at five-year,3.0,categorical
6270,f4b0,INT CHK: DOES CHILD LIVE WITH FATHER AT LEAST HALF OF TIME?,3.0,categorical
6271,f4b1,What kind of father do you think you are?,7.0,categorical
6272,f4b2,"In general, how is child's health?",7.0,categorical
6273,f4b2a,Has a doctor/health professional ever told you child has asthma?,6.0,categorical
6274,f4b2b,"In past yr, has child had asthma attack/episode?",5.0,categorical
6275,f4b2c,"In past yr, did child have to visit because of asthma?",5.0,categorical
6276,f4b3,"Last 2 yrs, times you and child separated for 1 wk+?",24.0,continuous
6277,f4b3a,"For how many days were you and child separated, monthst recent sep?",43.0,continuous
6278,f4b3b_1,Where did child stay: mother?,5.0,categorical
6279,f4b3b_2,Where did child stay: maternal GP?,5.0,categorical
6280,f4b3b_3,Where did child stay: paternal GP?,5.0,categorical
6281,f4b3b_4,Where did child stay: other relative?,5.0,categorical
6282,f4b3b_5,Where did child stay: foster parent?,5.0,categorical
6283,f4b3b_6,Where did child stay: institution?,4.0,categorical
6284,f4b3b_7,Where did child stay: hospital?,4.0,categorical
6285,f4b3b_8,Where did child stay: other?,4.0,categorical
6286,f4b3c,"Why were you and child separated, monthst recent?",18.0,categorical
6287,f4b3d,Was there more than one separation episode?,4.0,categorical
6288,f4b3d1,"How many days were you and child separated, 2nd monthst recent sep?",27.0,continuous
6289,f4b3e_1,Where did child stay: mother?,6.0,categorical
6290,f4b3e_2,Where did child stay: maternal GP?,6.0,categorical
6291,f4b3e_3,Where did child stay: paternal GP?,6.0,categorical
6292,f4b3e_4,Where did child stay: other relative?,6.0,categorical
6293,f4b3e_5,Where did child stay: foster parent?,6.0,categorical
6294,f4b3e_6,Where did child stay: institution?,5.0,categorical
6295,f4b3e_7,Where did child stay: hospital?,5.0,categorical
6296,f4b3e_8,Where did child stay: other?,5.0,categorical
6297,f4b3f,"Why were you and child separated, 2nd monthst recent separation?",17.0,categorical
6298,f4b4a1,Days/week: sing songs/nursery rhymes with child?,11.0,categorical
6299,f4b4a2,Days/week: read stories to child?,11.0,categorical
6300,f4b4a3,Days/week: you tell stories to child?,11.0,categorical
6301,f4b4a4,Days/week: play inside with toys with child?,11.0,categorical
6302,f4b4a5,Days/week: tell child you appreciated something he/she did?,11.0,categorical
6303,f4b4a6,Days/week: play outside in yard/park/playground withchild?,11.0,categorical
6304,f4b4a7,Days/week: take child on outing or special activity/event?,11.0,categorical
6305,f4b4a8,Days/week: you watch TV or video together?,11.0,categorical
6306,f4b4b1,"True/not true: child can't concentrate, can't pay attention for long?",6.0,categorical
6307,f4b4b2,True/not true: child can't sit still child is restless and hyperactive?,6.0,categorical
6308,f4b4b3,True/not true: child clings to adults or is too dependent?,6.0,categorical
6309,f4b4b4,True/not true: child cries a lot?,6.0,categorical
6310,f4b4b5,True/not true: child is disobedient?,7.0,categorical
6311,f4b4b6,True/not true: child doesn't get along with other children?,6.0,categorical
6312,f4b4b7,True/not true: child doesn't seem to feel guilty after misbehaving?,6.0,categorical
6313,f4b4b8,True/not true: child has trouble getting to sleep?,6.0,categorical
6314,f4b4b9,"True/not true: child is nervous, high strung, or tense?",6.0,categorical
6315,f4b4b10,True/not true: child has a speech problem?,6.0,categorical
6316,f4b4b11,"True/not true: child is stubborn, sullen or irritable?",7.0,categorical
6317,f4b4b12,True/not true: child has sudden changes in mood or feelings?,6.0,categorical
6318,f4b4b13,True/not true: child has temper tantrums or a hot temper?,6.0,categorical
6319,f4b4b14,True/not true: child is too fearful or anxious?,6.0,categorical
6320,f4b4b15,"True/not true: child is unhappy, sad, depressed?",6.0,categorical
6321,f4b4b16,True/not true: child wants a lot of attention?,7.0,categorical
6322,f4b4b17,True/not true: child is withdrawn child doesn't get involved with others?,6.0,categorical
6323,f4b4b18,True/not true: child feels worthless or inferior?,6.0,categorical
6324,f4b4b19,True/not true: child acts too young for his/her age?,6.0,categorical
6325,f4b5,"In past month, have you spanked child because misbehaving?",6.0,categorical
6326,f4b5a,How often did you spank child?,6.0,categorical
6327,f4b6a,Agree/disagree: being a parent is harder than I expected,8.0,categorical
6328,f4b6b,Agree/disagree: I feel trapped by my responsibilities as a parent,7.0,categorical
6329,f4b6c,Agree/disagree: I find taking care of my children more work than pleasure,7.0,categorical
6330,f4b6d,Agree/disagree: I often feel tired/worn out/exhausted from raising a family,7.0,categorical
6331,f4b7,Are public schools in your area on summer break?,4.0,categorical
6332,f4b7a,Is child currently in Kindergarten?,4.0,categorical
6333,f4b8,"Is child current attend daycare, nursery, preschool, Head Start, pre-K?",5.0,categorical
6334,f4b8a,What type of program does child attend monthst?,9.0,categorical
6335,f4b8b,"Typical wk, how many hrs/wk does child attend primary program?",49.0,continuous
6336,f4b8c,Where is program located?,12.0,categorical
6337,f4b8d,"Does person/agency give money/voucher/scholarship to help pay for program,?",7.0,categorical
6338,f4b8e,"On average, how much do you pay out-of-pocket weekly for all care/school/program",13.0,categorical
6339,f4b8f,"How many children, including child, are covered in this amount?",10.0,continuous
6340,f4b8g,Is child currently enrolled in this program?,5.0,categorical
6341,f4b8h,INT CHK: IS CHILD IN SCHOOL/PROGRAM FOR 8 OR MORE HOURS PER WEEK?,4.0,categorical
6342,f4b9,"Besides program, someone else care for child (not you/mother ) 8+ hrs/wk, 1 mo+?",5.0,categorical
6343,f4b9a,"How many hrs/wk is child in child care, not including school?",36.0,continuous
6344,f4b9b,How many diff childcare arrangements currently use for child?,8.0,continuous
6345,f4b10,What is primary type of child care arrangement using now?,15.0,categorical
6346,f4b11,Where does provider usually take care of child?,8.0,categorical
6347,f4b12,How many hrs/wk does child usually spend cared for at provider?,37.0,continuous
6348,f4b13,Does person/agency give money/voucher/scholars to help pay for care?,7.0,categorical
6349,f4b14,How much do you pay out-pocket weekly for provider?,13.0,categorical
6350,f4b15,"How many children, including child, are covered in amt?",7.0,continuous
6351,f4b16,Is child currently in child care?,2.0,categorical
6352,f4b17,Approx times in past mo had to make spec arrangement because usual care fell thr,11.0,continuous
6353,f4b18,Times in past month miss work/school because care arrangement fell thru?,10.0,continuous
6354,f4b19,"Last 2 yrs, have had to quit job/school/training because probs with care?",5.0,categorical
6355,f4b20,"When child sick, who cares for him/her, what arrangements?",9.0,categorical
6356,f4b20a,What kind of father do you think you are?,8.0,categorical
6357,f4b21,"In general, how is child's health?",8.0,categorical
6358,f4b22,"Last 2 yrs, have you talked to doctor about how child's doing?",5.0,categorical
6359,f4b22a,Do you feel you could talk to child's Dr. if wanted to?,5.0,categorical
6360,f4b23,Is child current cared for regularly by someone other than primary caregiver?,5.0,categorical
6361,f4b24,"Last 2 yrs, ever talk to care provider a/b how child's doing?",4.0,categorical
6362,f4b24a,Do you feel you could talk to child's provider if wanted to?,5.0,categorical
6363,f4b25,INT CHK: DID FATHER SEE CHILD MORE THAN ONCE IN LAST 30 DAYS?,4.0,categorical
6364,f4b26a,Days/week: sing songs/nursery rhymes with child?,11.0,categorical
6365,f4b26b,Days/week: read stories to child?,11.0,categorical
6366,f4b26c,Days/week: tell stories to child?,10.0,categorical
6367,f4b26d,Days/week: play inside with toys with child?,10.0,categorical
6368,f4b26e,Days/week: tell child you appreciated something he/she did?,11.0,categorical
6369,f4b26f,Days/week: play outside in yard/park/playground with child?,11.0,categorical
6370,f4b26g,Days/week: take child on outing/event/activity?,11.0,categorical
6371,f4b26h,Days/week: watch TV/video together?,10.0,categorical
6372,f4b27,How many books do you have for child?,7.0,categorical
6373,f4b28a,"In typical day, do you eat Breakfast with child?",5.0,categorical
6374,f4b28b,"In typical day, do you eat Lunch with child?",5.0,categorical
6375,f4b28c,"In typical day, do you eat Dinner with child?",5.0,categorical
6376,f4b29a1,True/not true: child can't concentrate/pay attention long,6.0,categorical
6377,f4b29a2,True/not true: child can't sit still/is restless/hyperactive,6.0,categorical
6378,f4b29a3,True/not true: child clings to adults/is too dependent,6.0,categorical
6379,f4b29a4,True/not true: child cries a lot,6.0,categorical
6380,f4b29a5,True/not true: child is disobedient,6.0,categorical
6381,f4b29a6,True/not true: child doesn't get along with other children,6.0,categorical
6382,f4b29a7,True/not true: child doesn't seem to feel guilty after misbehaving,6.0,categorical
6383,f4b29a8,True/not true: child has trouble getting to sleep,6.0,categorical
6384,f4b29a9,"True/not true: child is nervous, high strung, tense",6.0,categorical
6385,f4b29a10,True/not true: child has speech problem,6.0,categorical
6386,f4b29a11,"True/not true: child is stubborn, sullen, irritable",6.0,categorical
6387,f4b29a12,True/not true: child has sudden mood/feelings changes,6.0,categorical
6388,f4b29a13,True/not true: child has temper tantrums/hot temper,6.0,categorical
6389,f4b29a14,True/not true: child is too fearful anxious,6.0,categorical
6390,f4b29a15,"True/not true: child is unhappy, sad, depressed",6.0,categorical
6391,f4b29a16,True/not true: child wants a lot of attention,6.0,categorical
6392,f4b29a17,"True/not true: child is withdrawn, doesn't get involved with others",6.0,categorical
6393,f4b29a18,True/not true: child feels worthless/inferior,6.0,categorical
6394,f4b29a19,True/not true: child acts too young for his/her age,6.0,categorical
6395,f4b30,"In past month, have you spanked child because misbehaving?",4.0,categorical
6396,f4b30a,How often did you spank child?,6.0,categorical
6397,f4b31a,Agree/disagree: Being a parent is harder than I expected?,7.0,categorical
6398,f4b31b,Agree/disagree: I feel trapped by my responsibilities as a parent?,6.0,categorical
6399,f4b31c,Agree/disagree: I find taking care of my children more work than pleasure?,6.0,categorical
6400,f4b31d,Agree/disagree: I often feel tired/exhausted from raising a family?,7.0,categorical
6401,f4c1,INT CHK: ARE MOTHER AND FATHER CURRENTLY LIVING TOGETHER ALL/MONTHST/SOME OF TIM,3.0,categorical
6402,f4c1a,INT CHK: IS MOTHER DECEASED?,4.0,categorical
6403,f4c1b,INT CHK: DOES MOTHER HAVE PRIMARY CUSTODY OF CHILD?,4.0,categorical
6404,f4c2,Has mother seen child in last two years?,6.0,categorical
6405,f4c2a,"In past month, how many days has mother seen child?",34.0,continuous
6406,f4c2b1,When did mother last see child? (month),1.0,categorical
6407,f4c2b2,When did mother last see child? (year),8.0,continuous
6408,f4c2c,Has child stayed overnight with mother in last 2 years?,5.0,categorical
6409,f4c2d,How many nights altogether has child spent with mother in last 2yrs?,90.0,continuous
6410,f4c2d1,"How many nights has child spent with mother in last 2 yrs, range?",6.0,categorical
6411,f4c2e,INT CHK: DID MOTHER SEE CHILD MORE THAN ONCE DURING PAST MONTH?,4.0,categorical
6412,f4c2f,What kind of mother do you think mother is to child?,6.0,categorical
6413,f4c3a,Days/week: mother sings songs/nursery rhymes with child?,11.0,categorical
6414,f4c3b,Days/week: mother reads stories with child?,11.0,categorical
6415,f4c3c,Days/week: mother tells stories to child?,11.0,categorical
6416,f4c3d,Days/week: mother plays inside with toys with child?,11.0,categorical
6417,f4c3e,Days/week: mother tells child she appreciated something child did?,11.0,categorical
6418,f4c3f,Days/week: mother plays outside in yard/park/playground with child?,11.0,categorical
6419,f4c3g,Days/week: mother takes child on outing/activity/event?,11.0,categorical
6420,f4c3h,Days/week: mother watches TV/video together with child?,11.0,categorical
6421,f4c4,"In past month, has mother spanked child because misbehaving?",6.0,categorical
6422,f4c4a,How often did mother spank child?,7.0,categorical
6423,f4c5,"In past month, how often has mother spent 1+ hrs/day with child?",8.0,categorical
6424,f4c5a,INT CHK: DOES MOTHER SEE CHILD FREQUENTLY?,4.0,categorical
6425,f4c5b,What is main reason mother doesn't see child more often?,16.0,categorical
6426,f4c6,Have you ever asked mother to spend more time with child?,5.0,categorical
6427,f4c6a,Have you ever refused to let mother see child?,5.0,categorical
6428,f4c6a1,How many times have you refused to let mother see child in last 2 years?,11.0,continuous
6429,f4c6a2,Why do you refuse to let mother see child?,7.0,categorical
6430,f4c7,INT CHK: HAS MOTHER SPENT LESS THAN ONE HOUR WITH CHILD IN PAST MONTH?,3.0,categorical
6431,f4c7a,How often does mother look after child when you need to do things?,8.0,categorical
6432,f4c7b,How often does mother run errands for you?,8.0,categorical
6433,f4c7c,How often does mother fix things around home/paint/make look nicer?,8.0,categorical
6434,f4c7d,How often does mother take child places he/she needs to go?,7.0,categorical
6435,f4c7e,INT CHK: DID CHILD LIVE WITH MOTHER AT BIRTH AND CURRENTLY LIVES WITH MOTHER?,4.0,categorical
6436,f4c7f,Was mother ever separated from child for any period of 2 weeks+?,5.0,categorical
6437,f4c7g,How many times were mother and child separated?,16.0,continuous
6438,f4c7h1,How old was child during 1st separation? (months),9.0,continuous
6439,f4c7h2,How old was child during 1st separation? (years),7.0,continuous
6440,f4c8,INT CHK: WERE FATHER AND MOTHER MARRIED AT LAST INTERVIEW,5.0,categorical
6441,f4c9,INT CHK: WAS PATERNITY ESTABLISHED AT LAST INTERVIEW?,4.0,categorical
6442,f4c10a,Has your legal paternity been established?,6.0,categorical
6443,f4c10a1,What is primary reason legal paternity not established?,11.0,unknown
6444,f4c10a2,Why doesn't mother want you involved?,3.0,categorical
6445,f4c11,INT CHK: ARE FATHER AND MOTHER MARRIED AND LIVING TOGETHER?,4.0,categorical
6446,f4c12,INT CHK: DID FATHER AND MOTHER HAVE A LEGAL AGREEMENT/SUPPORT ORDER AT LAST INTE,5.0,categorical
6447,f4c12a,Have there been any changes to original legal agreement since reached?,5.0,categorical
6448,f4c12b,INT CHK: WAS LEGAL PATERNITY ESTABLISHED?,4.0,categorical
6449,f4c13,You have legal agreement/child supp order required provide financial support?,6.0,categorical
6450,f4c13a1,What is primary reason you don't have child supp order?,11.0,categorical
6451,f4c13a2,Why doesn't mother want you involved?,3.0,categorical
6452,f4c13a3,Have you ever contact child supp agency/other find out a/b child supp?,2.0,categorical
6453,f4c13b1,When was legal agreement first reached? (month),1.0,categorical
6454,f4c13b2,When was legal agreement first reached? (year),10.0,continuous
6455,f4c14,INT CHK: DOES FATHER HAVE ANY OTHER CHILDREN BY MOTHER?,4.0,categorical
6456,f4c14a,Is your legal agreement just for child or for other children?,5.0,categorical
6457,f4c15,Have there been any changes to original agreement since reached?,5.0,categorical
6458,f4c15a_1,Why was original agreement changed: include another child?,4.0,categorical
6459,f4c15a_2,Why was original agreement changed: change in father economic circumstances?,5.0,categorical
6460,f4c15a_3,Why was original agreement changed: change in mother economic circumstances?,5.0,categorical
6461,f4c15a_4,Why was original agreement changed: other?,8.0,unknown
6462,f4c15b1,When was original agreement changed? (month),1.0,categorical
6463,f4c15b2,When was original agreement changed? (year),9.0,continuous
6464,f4c16,How much are the payments supposed to be?,227.0,continuous
6465,f4c16p,How much are the payments? (per),5.0,categorical
6466,f4c17,INT CHK: DO FATHER AND MOTHER LIVE TOGETHER?,4.0,categorical
6467,f4c18,"Are payments supposed to go directly to mother, to court, to agency?",9.0,categorical
6468,f4c19,How often do you pay on time?,9.0,categorical
6469,f4c20,How much of legally-agreed-upon child supp did you actually pay?,7.0,categorical
6470,f4c20a,Approx how much child support did you pay?,12.0,categorical
6471,f4c20b,You given financial supp direct to mother  instead/addition to child supp?,6.0,categorical
6472,f4c20c,"How much money have you given mother  last 2 yrs, not formal child support?",110.0,continuous
6473,f4c20d,"How much money given mother  last 2 yrs, not formal chld supp, range?",9.0,categorical
6474,f4c21,Do you have any arrears on child support supposed to pay?,6.0,categorical
6475,f4c21a,What is amount of the arrears?,57.0,continuous
6476,f4c21b,"What is amount of the arrears, range?",10.0,categorical
6477,f4c21c,Action taken by welfare office/court judge to get you to pay support?,5.0,categorical
6478,f4c21d_1,What action taken: garnished wages?,5.0,categorical
6479,f4c21d_2,What action taken: seized income tax refund?,5.0,categorical
6480,f4c21d_3,What action taken: suspend driver's license?,5.0,categorical
6481,f4c21d_4,What action taken: seized liquid assets?,5.0,categorical
6482,f4c21d_5,What action taken: put a lien on personal property?,4.0,categorical
6483,f4c21d_6,What action taken: suspend  business license?,5.0,categorical
6484,f4c21d_7,What action taken: sent to jail?,5.0,categorical
6485,f4c21d_8,What action taken: put on probation?,4.0,categorical
6486,f4c21d_9,What action taken: other?,7.0,unknown
6487,f4c22,INT CHK: DO FATHER AND MOTHER LIVE TOGETHER?,4.0,categorical
6488,f4c22a,Does child support agreement specify visits between child and you?,6.0,categorical
6489,f4c22b,How many days/month is child supposed to spend with you?,18.0,categorical
6490,f4c23,INT CHK: ARE FATHER AND MOTHER CURRENTLY MARRIED?,4.0,categorical
6491,f4c24,INT CHK: DOES FATHER HAVE A FORMAL OR INFORMAL AGREEMENT WITH MOTHER?,4.0,categorical
6492,f4c25,Have you paid anything toward child's support in past year?,6.0,categorical
6493,f4c25a,How much have you given for child's support in past year?,229.0,continuous
6494,f4c25b,How much have you given for child's support in past year? (range),12.0,categorical
6495,f4c25c,INT CHK: DO FATHER AND MOTHER LIVE TOGETHER ALL OR MONTHST OF THE TIME?,4.0,categorical
6496,f4c26a,How often do you buy clothes for child?,7.0,categorical
6497,f4c26b,How often do you buy toys for child?,7.0,categorical
6498,f4c26c,How often do you buy medicine for child?,8.0,categorical
6499,f4c26d,How often do you buy food for child?,7.0,categorical
6500,f4c26e,How often do you buy anything else for child?,7.0,categorical
6501,f4c27,INT CHK: DOES FATHER HAVE ANY CHILDREN BY SOMEONE OTHER THAN MOTHER?,4.0,categorical
6502,f4c28,Do you have legal obligation to pay child supp for those children?,7.0,categorical
6503,f4c29,How much child supp did you pay for those children in past yr?,223.0,continuous
6504,f4c29a,"How much child supp did you pay for those children in past yr, range?",12.0,categorical
6505,f4c30,Has mother had any children with another man in last 2 yrs?,6.0,categorical
6506,f4c31,How many children did mother have with other men in last 2 yrs?,7.0,continuous
6507,f4c31a,Does mother live with any of the children she's had with other men?,5.0,categorical
6508,f4c32,Does she pay child support for these children?,5.0,categorical
6509,f4c33,INT CHK: IS FATHER LIVING WITH MOTHER ALL/MONTHST/SOME OF THE TIME?,4.0,categorical
6510,f4c34,Is mother living with/married to another man?,6.0,categorical
6511,f4c35b,Approx how many miles from your home does mother live?,9.0,categorical
6512,f4c36,What was mother doing monthst of last week?,15.0,unknown
6513,f4c37,Has mother spent any time in jail in last 2 yrs?,6.0,categorical
6514,f4c37a_1,What is/was mother in jail for: aggravated assault?,5.0,categorical
6515,f4c37a_2,What is/was mother in jail for: robbery/theft/larceny?,5.0,categorical
6516,f4c37a_3,What is/was mother in jail for: illicit drugs?,5.0,categorical
6517,f4c37a_4,What is/was mother in jail for: major traffic offense?,5.0,categorical
6518,f4c37a_5,What is/was mother in jail for: child support?,5.0,categorical
6519,f4c37a_6,What is/was mother in jail for: parole/probation violation?,5.0,categorical
6520,f4c37a_7,What is/was mother in jail for: simple assault?,5.0,categorical
6521,f4c37a_8,What is/was mother in jail for: other?,6.0,unknown
6522,f4c37b,INT CHK: IS MOTHER CURRENTLY IN JAIL?,4.0,categorical
6523,f4c37c1,How long did she spend in jail? (years),6.0,continuous
6524,f4c37c2,How long did she spend in jail? (months),7.0,continuous
6525,f4c37c3,How long did she spend in jail? (weeks),6.0,continuous
6526,f4c37c4,How long did she spend in jail? (days),12.0,continuous
6527,f4c37d2,When did mother go to jail? (year),5.0,continuous
6528,f4c37e2,When will mother be released from jail? (year),6.0,continuous
6529,f4c38,Does mother have any phys/mental health conditions limits work can do?,6.0,categorical
6530,f4c39,Does mother have problems keeping job/getting along with friends because alc/dru,6.0,categorical
6531,f4c40a,Agree/disagree: mother often says/does things without considering consequences,8.0,categorical
6532,f4c40b,Agree/disagree: mother  often gets into trouble because doesn't think before act,8.0,categorical
6533,f4c41a,True/not true: mother does things that may cause trouble with the law,7.0,categorical
6534,f4c41b,True/not true: mother lies or cheats,7.0,categorical
6535,f4c41c,True/not true: mother frequently gets into fights,7.0,categorical
6536,f4c41d,True/not true: mother doesn't seem to feel guilty when misbehaves,7.0,categorical
6537,f4c42a,"As couple, do you think mother  cheated on you after child's birth?",1.0,categorical
6538,f4c42b,"As couple, did you cheat on mother with another person after child's birth?",1.0,categorical
6539,f4c43a,"Since child's birth, has there been time when mother  felt sad/depressed?",6.0,categorical
6540,f4c43b,Has mother  felt sad/depressed/lost interest in last yr?,5.0,categorical
6541,f4c44a,"Since child's birth, has mother had period 1 mo+ when worried/tense/anxious?",6.0,categorical
6542,f4c44b,"During past year, did mother have period 1 mo+ when worried/anxious monthst of t",5.0,categorical
6543,f4d0,INT CHK: IS MOTHER DEAD OR UNKOWN?,3.0,categorical
6544,f4d1,INT CHK: DOES MOTHER HAVE ANY CONTACT WITH CHILD?,4.0,categorical
6545,f4d1a,Always/sometimes/rarely true: acts like mother you want for your child,8.0,categorical
6546,f4d1b,Always/sometimes/rarely true: can trust her to take care of child,8.0,categorical
6547,f4d1c,Always/sometimes/rarely true: respects rules you make for child?,8.0,categorical
6548,f4d1d,Always/sometimes/rarely true: supports way you want to raise child?,8.0,categorical
6549,f4d1e,Always/sometimes/rarely true: talk about problems raising child?,8.0,categorical
6550,f4d1f,Always/sometimes/rarely true: count on to look after child for few hours?,8.0,categorical
6551,f4d1g,Always/sometimes/rarely true: respect wishes about how child should be raised?,8.0,categorical
6552,f4d1h,Always/sometimes/rarely true: critical of the things mother does with child?,8.0,categorical
6553,f4d1i,Is relationship with mother refused?,4.0,categorical
6554,f4d2,"If had go away one week without child, would trust mother take care of child?",7.0,categorical
6555,f4d3,Could you trust anyone else to look after child?,5.0,categorical
6556,f4d4,"In general, how is relationship with mother?",10.0,categorical
6557,f4d4a,"In last 2 yrs, participated in program/counseling to improve rel with mother?",6.0,categorical
6558,f4d5,INT CHK: ARE FATHER AND MOTHER CURRENTLY MARRIED OR ROMANTICALLY INVOLVED?,4.0,categorical
6559,f4d6a,Agree/disagree: my relation with mother is more import than anything else in lif,1.0,categorical
6560,f4d6b,Agree/disagree: I may not want to be with mother a few yrs from now,1.0,categorical
6561,f4d6c,"Agree/disagree: I like to think of mother and me as couple, not 2 sep people",1.0,categorical
6562,f4d6d,Agree/disagree: I want this relation to stay strong no matter rough times,1.0,categorical
6563,f4d6e,Agree/disagree: I am happy with my sexual relationship with mother,1.0,categorical
6564,f4d6f,Agree/disagree: I can trust that mother will not cheat on me,1.0,categorical
6565,f4d6g,How often have you thought relation with mother might be in trouble?,1.0,categorical
6566,f4d6h,How often have you and mother discussed ending relationship?,1.0,categorical
6567,f4d6i,How often have you talked to close friend a/b breaking up withmother ?,1.0,categorical
6568,f4d7a,Often/sometimes/never: mother fair and willing to compromise?,1.0,categorical
6569,f4d7b,Often/sometimes/never: she express affection or love for you?,1.0,categorical
6570,f4d7c,Often/sometimes/never: insults or criticizes you or your ideas?,1.0,categorical
6571,f4d7d,Often/sometimes/never: helps you to do things important to you?,1.0,categorical
6572,f4d7e,Often/sometimes/never: she tries to keep from seeing friends or family?,1.0,categorical
6573,f4d7f,Often/sometimes/never: she tries to prevent from going to work or school?,1.0,categorical
6574,f4d7g,"Often/sometimes/never: withhold money, make you ask, takes money?",1.0,categorical
6575,f4d7h,Often/sometimes/never: she slaps or kicks you?,1.0,categorical
6576,f4d7i,Often/sometimes/never: she hit you with fist or object that can hurt you?,1.0,categorical
6577,f4d7j,Often/sometimes/never: she tries to make you have sex or do sexual things?,1.0,categorical
6578,f4d7k,Often/sometimes/never: she withholds sex to try to control your behavior?,1.0,categorical
6579,f4d7l,Often/sometimes/never: insults or criticize you for not taking good care of chil,1.0,categorical
6580,f4d7m,Often/sometimes/never: she throws something at you?,1.0,categorical
6581,f4d7n,"Often/sometimes/never: she pushes, grabs, shoves you?",1.0,categorical
6582,f4d7o,Often/sometimes/never: she listens to you when you need someone talk to?,1.0,categorical
6583,f4d7p,Often/sometimes/never: she really understand your hurts and joys?,1.0,categorical
6584,f4d8,INT CHK: WERE PARENTS ROMANTICALLY INVOLVED AT ANY WAVE BUT NOT NOW?,4.0,categorical
6585,f4d9a,Often/sometimes/never: mother fair and willing to compromise?,1.0,categorical
6586,f4d9b,Often/sometimes/never: she express affection or love for you?,1.0,categorical
6587,f4d9c,Often/sometimes/never: insults or criticizes you or your ideas?,1.0,categorical
6588,f4d9d,Often/sometimes/never: helps you to do things important to you?,1.0,categorical
6589,f4d9e,Often/sometimes/never: she tries to keep from seeing friends or family?,1.0,categorical
6590,f4d9f,Often/sometimes/never: she tries to prevent from going to work or school?,1.0,categorical
6591,f4d9g,"Often/sometimes/never: withhold money, make you ask, takes money?",1.0,categorical
6592,f4d9h,Often/sometimes/never: she slaps or kicks you?,1.0,categorical
6593,f4d9i,Often/sometimes/never: she hit you with fist or object that can hurt you?,1.0,categorical
